"Indicator","PUBLISH STATES","Year","WHO region","Country","Age Group","Sex","Display Value","Numeric","Low","High","Comments"
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","25-29","Female","
0.00033
","3.3E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","65-69","Female","
0.00752
","0.00752","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","55-59","Female","
0.00296
","0.00296","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","65-69","Male","
0.01515
","0.01515","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","45-49","Both sexes","
0.00191
","0.00191","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","75-79","Male","
0.04465
","0.04465","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","80-84","Both sexes","
0.05593
","0.05593","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","75-79","Female","
0.01797
","0.01797","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","5-9","Male","
0.00015
","1.5E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","60-64","Female","
0.00571
","0.00571","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","95-99","Male","
0.33653
","0.33653","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","40-44","Both sexes","
0.00136
","0.00136","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","95-99","Female","
0.24022
","0.24022","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","40-44","Female","
0.00105
","0.00105","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2011","Western Pacific","Japan","25-29","Male","
0.00067
","6.7E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","1-4","Both sexes","
0.00030
","3.0E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","10-14","Male","
0.00017
","1.7E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","1990","Western Pacific","Japan","20-24","Female","
0.00031
","3.1E-4","","",""
"nMx - age-specific death rate between ages x and x+n","Published","2000","Western Pacific","Japan","20-24","Both sexes","
0.00049
","4.9E-4","","",""
